intensity,laneId,dateObserved,location/coordinates/0,location/coordinates/1,location/type,id,type,vehicleType,reversedLane
72,105575465,2020-09-09T00:00:00/2020-09-10T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009090000,TrafficFlowObserved,bicycle,False
77,105575465,2020-09-10T00:00:00/2020-09-11T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009100000,TrafficFlowObserved,bicycle,False
93,105575465,2020-09-11T00:00:00/2020-09-12T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009110000,TrafficFlowObserved,bicycle,False
57,105575465,2020-09-12T00:00:00/2020-09-13T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009120000,TrafficFlowObserved,bicycle,False
53,105575465,2020-09-13T00:00:00/2020-09-14T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009130000,TrafficFlowObserved,bicycle,False
86,105575465,2020-09-14T00:00:00/2020-09-15T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009140000,TrafficFlowObserved,bicycle,False
87,105575465,2020-09-15T00:00:00/2020-09-16T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009150000,TrafficFlowObserved,bicycle,False
59,105575465,2020-09-16T00:00:00/2020-09-17T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009160000,TrafficFlowObserved,bicycle,False
84,105575465,2020-09-17T00:00:00/2020-09-18T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009170000,TrafficFlowObserved,bicycle,False
75,105575465,2020-09-18T00:00:00/2020-09-19T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009180000,TrafficFlowObserved,bicycle,False
24,105575465,2020-09-19T00:00:00/2020-09-20T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009190000,TrafficFlowObserved,bicycle,False
58,105575465,2020-09-20T00:00:00/2020-09-21T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009200000,TrafficFlowObserved,bicycle,False
106,105575465,2020-09-21T00:00:00/2020-09-22T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009210000,TrafficFlowObserved,bicycle,False
74,105575465,2020-09-22T00:00:00/2020-09-23T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009220000,TrafficFlowObserved,bicycle,False
79,105575465,2020-09-23T00:00:00/2020-09-24T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009230000,TrafficFlowObserved,bicycle,False
88,105575465,2020-09-24T00:00:00/2020-09-25T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009240000,TrafficFlowObserved,bicycle,False
79,105575465,2020-09-25T00:00:00/2020-09-26T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009250000,TrafficFlowObserved,bicycle,False
41,105575465,2020-09-26T00:00:00/2020-09-27T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009260000,TrafficFlowObserved,bicycle,False
30,105575465,2020-09-27T00:00:00/2020-09-28T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009270000,TrafficFlowObserved,bicycle,False
92,105575465,2020-09-28T00:00:00/2020-09-29T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009280000,TrafficFlowObserved,bicycle,False
96,105575465,2020-09-29T00:00:00/2020-09-30T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009290000,TrafficFlowObserved,bicycle,False
98,105575465,2020-09-30T00:00:00/2020-10-01T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202009300000,TrafficFlowObserved,bicycle,False
99,105575465,2020-10-01T00:00:00/2020-10-02T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010010000,TrafficFlowObserved,bicycle,False
53,105575465,2020-10-02T00:00:00/2020-10-03T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010020000,TrafficFlowObserved,bicycle,False
68,105575465,2020-10-03T00:00:00/2020-10-04T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010030000,TrafficFlowObserved,bicycle,False
60,105575465,2020-10-04T00:00:00/2020-10-05T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010040000,TrafficFlowObserved,bicycle,False
76,105575465,2020-10-05T00:00:00/2020-10-06T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010050000,TrafficFlowObserved,bicycle,False
64,105575465,2020-10-06T00:00:00/2020-10-07T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010060000,TrafficFlowObserved,bicycle,False
96,105575465,2020-10-07T00:00:00/2020-10-08T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010070000,TrafficFlowObserved,bicycle,False
98,105575465,2020-10-08T00:00:00/2020-10-09T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010080000,TrafficFlowObserved,bicycle,False
109,105575465,2020-10-09T00:00:00/2020-10-10T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010090000,TrafficFlowObserved,bicycle,False
61,105575465,2020-10-10T00:00:00/2020-10-11T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010100000,TrafficFlowObserved,bicycle,False
50,105575465,2020-10-11T00:00:00/2020-10-12T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010110000,TrafficFlowObserved,bicycle,False
79,105575465,2020-10-12T00:00:00/2020-10-13T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010120000,TrafficFlowObserved,bicycle,False
71,105575465,2020-10-13T00:00:00/2020-10-14T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010130000,TrafficFlowObserved,bicycle,False
97,105575465,2020-10-14T00:00:00/2020-10-15T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010140000,TrafficFlowObserved,bicycle,False
83,105575465,2020-10-15T00:00:00/2020-10-16T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010150000,TrafficFlowObserved,bicycle,False
79,105575465,2020-10-16T00:00:00/2020-10-17T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010160000,TrafficFlowObserved,bicycle,False
55,105575465,2020-10-17T00:00:00/2020-10-18T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010170000,TrafficFlowObserved,bicycle,False
61,105575465,2020-10-18T00:00:00/2020-10-19T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010180000,TrafficFlowObserved,bicycle,False
69,105575465,2020-10-19T00:00:00/2020-10-20T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010190000,TrafficFlowObserved,bicycle,False
51,105575465,2020-10-20T00:00:00/2020-10-21T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010200000,TrafficFlowObserved,bicycle,False
54,105575465,2020-10-21T00:00:00/2020-10-22T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010210000,TrafficFlowObserved,bicycle,False
34,105575465,2020-10-22T00:00:00/2020-10-23T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010220000,TrafficFlowObserved,bicycle,False
44,105575465,2020-10-23T00:00:00/2020-10-24T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010230000,TrafficFlowObserved,bicycle,False
45,105575465,2020-10-24T00:00:00/2020-10-25T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010240000,TrafficFlowObserved,bicycle,False
54,105575465,2020-10-25T00:00:00/2020-10-25T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010250000,TrafficFlowObserved,bicycle,False
77,105575465,2020-10-26T00:00:00/2020-10-27T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010260000,TrafficFlowObserved,bicycle,False
83,105575465,2020-10-27T00:00:00/2020-10-28T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010270000,TrafficFlowObserved,bicycle,False
90,105575465,2020-10-28T00:00:00/2020-10-29T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010280000,TrafficFlowObserved,bicycle,False
81,105575465,2020-10-29T00:00:00/2020-10-30T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010290000,TrafficFlowObserved,bicycle,False
55,105575465,2020-10-30T00:00:00/2020-10-31T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010300000,TrafficFlowObserved,bicycle,False
33,105575465,2020-10-31T00:00:00/2020-11-01T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202010310000,TrafficFlowObserved,bicycle,False
21,105575465,2020-11-01T00:00:00/2020-11-02T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011010000,TrafficFlowObserved,bicycle,False
82,105575465,2020-11-02T00:00:00/2020-11-03T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011020000,TrafficFlowObserved,bicycle,False
91,105575465,2020-11-03T00:00:00/2020-11-04T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011030000,TrafficFlowObserved,bicycle,False
60,105575465,2020-11-04T00:00:00/2020-11-05T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011040000,TrafficFlowObserved,bicycle,False
90,105575465,2020-11-05T00:00:00/2020-11-06T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011050000,TrafficFlowObserved,bicycle,False
82,105575465,2020-11-06T00:00:00/2020-11-07T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011060000,TrafficFlowObserved,bicycle,False
45,105575465,2020-11-07T00:00:00/2020-11-08T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011070000,TrafficFlowObserved,bicycle,False
35,105575465,2020-11-08T00:00:00/2020-11-09T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011080000,TrafficFlowObserved,bicycle,False
85,105575465,2020-11-09T00:00:00/2020-11-10T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011090000,TrafficFlowObserved,bicycle,False
88,105575465,2020-11-10T00:00:00/2020-11-11T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011100000,TrafficFlowObserved,bicycle,False
54,105575465,2020-11-11T00:00:00/2020-11-12T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011110000,TrafficFlowObserved,bicycle,False
81,105575465,2020-11-12T00:00:00/2020-11-13T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011120000,TrafficFlowObserved,bicycle,False
79,105575465,2020-11-13T00:00:00/2020-11-14T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011130000,TrafficFlowObserved,bicycle,False
31,105575465,2020-11-14T00:00:00/2020-11-15T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011140000,TrafficFlowObserved,bicycle,False
20,105575465,2020-11-15T00:00:00/2020-11-16T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011150000,TrafficFlowObserved,bicycle,False
71,105575465,2020-11-16T00:00:00/2020-11-17T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011160000,TrafficFlowObserved,bicycle,False
82,105575465,2020-11-17T00:00:00/2020-11-18T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011170000,TrafficFlowObserved,bicycle,False
86,105575465,2020-11-18T00:00:00/2020-11-19T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011180000,TrafficFlowObserved,bicycle,False
63,105575465,2020-11-19T00:00:00/2020-11-20T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011190000,TrafficFlowObserved,bicycle,False
52,105575465,2020-11-20T00:00:00/2020-11-21T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011200000,TrafficFlowObserved,bicycle,False
53,105575465,2020-11-21T00:00:00/2020-11-22T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011210000,TrafficFlowObserved,bicycle,False
38,105575465,2020-11-22T00:00:00/2020-11-23T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011220000,TrafficFlowObserved,bicycle,False
66,105575465,2020-11-23T00:00:00/2020-11-24T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011230000,TrafficFlowObserved,bicycle,False
82,105575465,2020-11-24T00:00:00/2020-11-25T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011240000,TrafficFlowObserved,bicycle,False
31,105575465,2020-11-25T00:00:00/2020-11-26T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011250000,TrafficFlowObserved,bicycle,False
59,105575465,2020-11-26T00:00:00/2020-11-27T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011260000,TrafficFlowObserved,bicycle,False
66,105575465,2020-11-27T00:00:00/2020-11-28T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011270000,TrafficFlowObserved,bicycle,False
59,105575465,2020-11-28T00:00:00/2020-11-29T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011280000,TrafficFlowObserved,bicycle,False
65,105575465,2020-11-29T00:00:00/2020-11-30T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011290000,TrafficFlowObserved,bicycle,False
68,105575465,2020-11-30T00:00:00/2020-12-01T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202011300000,TrafficFlowObserved,bicycle,False
45,105575465,2020-12-01T00:00:00/2020-12-02T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202012010000,TrafficFlowObserved,bicycle,False
51,105575465,2020-12-02T00:00:00/2020-12-03T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202012020000,TrafficFlowObserved,bicycle,False
62,105575465,2020-12-03T00:00:00/2020-12-04T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202012030000,TrafficFlowObserved,bicycle,False
24,105575465,2020-12-04T00:00:00/2020-12-05T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202012040000,TrafficFlowObserved,bicycle,False
53,105575465,2020-12-05T00:00:00/2020-12-06T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202012050000,TrafficFlowObserved,bicycle,False
27,105575465,2020-12-06T00:00:00/2020-12-07T00:00:00,3.8956288,43.6266977,Point,MMM_EcoCompt_X2H20063164_202012060000,TrafficFlowObserved,bicycle,False
